Name,2019,2020,% Change
43007000,1006,465,-0.54
43021000,2845,1081,-0.62
43026000,1522,592,-0.61
43032000,647,360,-0.44
43042000,960,619,-0.36
43052000,972,423,-0.56
43057000,975,439,-0.55
43063000,614,375,-0.39
43066000,1975,1435,-0.27
43073000,4280,2816,-0.34
43083000,5403,3753,-0.31
43088000,6339,3968,-0.37
43091000,5321,3584,-0.33
43093000,5050,3447,-0.32
43127000,3141,1961,-0.38
43157000,1811,956,-0.47
43162000,2828,899,-0.68
43487000,3359,2343,-0.3
43508000,1394,1111,-0.2
43518000,2034,1507,-0.26
43571000,2475,1538,-0.38
43576000,3373,1784,-0.47
43578000,3257,1846,-0.43
43584000,1438,678,-0.53
54087000,12635,8112,-0.36
54097000,14278,10078,-0.29
54105000,16517,13705,-0.17
54779000,18095,14995,-0.17
54797000,13910,10038,-0.28
54807000,11915,8728,-0.27
54815000,9456,7405,-0.22
54825000,16814,10632,-0.37
54945000,5729,3886,-0.32
54952000,6992,4015,-0.43
54965000,5663,3099,-0.45
54971000,4515,5282,0.17
54985000,5311,3764,-0.29
54995000,1949,1035,-0.47
55023000,3106,1588,-0.49
55028000,4998,2896,-0.42
55032000,5435,3319,-0.39
55037000,4439,3041,-0.31
55045000,4952,3931,-0.21
