Name,2019,2020,% Change
11410031,10138,9126,-10%
11760021,9634,8067,-16%
13100185,293,331,13%
18000037,8584,7382,-14%
28020000,778,145,-81%
28608000,1709,587,-66%
28610000,2396,2279,-5%
30082050,90,95,6%
30082080,57,49,-14%
30082090,293,251,-14%
30083020,131,107,-18%
30093040,305,267,-12%
30093050,246,205,-17%
30093220,445,308,-31%
30095010,297,289,-3%
30095020,126,104,-17%
30095100,445,391,-12%
30096120,936,891,-5%
30283010,525,507,-3%
30283092,1705,1982,16%
30286055,322,214,-34%
30286080,633,679,7%
30286090,278,267,-4%
30286231,288,236,-18%
30286232,616,637,3%
30286360,403,433,7%
30288040,717,657,-8%
30293061,1578,1513,-4%
30296060,246,207,-16%
30296070,76,81,7%
30296140,62,78,26%
31082020,190,252,33%
31082170,2378,1974,-17%
31082180,163,166,2%
31093001,795,682,-14%
31093020,605,565,-7%
31093031,394,426,8%
31093140,946,1028,9%
31093160,891,1032,16%
31093170,24,20,-17%
31095064,2534,3760,48%
31095110,1808,1613,-11%
31096000,912,947,4%
31096100,353,349,-1%
31096152,370,391,6%
31280030,1227,1275,4%
31280040,343,300,-13%
31280050,288,236,-18%
31280060,2670,2485,-7%
31280082,804,854,6%
31280100,652,574,-12%
31280120,4639,4180,-10%
31280121,4930,4763,-3%
31280130,5692,5042,-11%
31280140,2323,2321,0%
31280160,623,451,-28%
31280170,1513,1167,-23%
31280180,474,442,-7%
31280190,695,760,9%
31280200,1022,1169,14%
31280210,969,871,-10%
31281020,367,368,0%
31281022,486,442,-9%
31283063,137,117,-15%
31283070,458,470,3%
31283071,672,698,4%
31283091,597,703,18%
31285001,7340,6628,-10%
31285031,3871,3902,1%
31285050,4918,5164,5%
31286030,2789,2397,-14%
31286040,962,983,2%
31286054,1545,1573,2%
31286060,803,946,18%
31286061,1755,1656,-6%
31286070,844,791,-6%
31286130,573,628,10%
31286210,2189,2664,22%
31286211,3061,3376,10%
31286261,1467,1914,30%
31286300,5267,4996,-5%
31286380,840,682,-19%
31287010,2287,1917,-16%
31287130,622,707,14%
31287150,436,399,-8%
31288020,164,153,-7%
31288021,159,117,-26%
31288043,3444,2891,-16%
31289030,1280,1060,-17%
31289070,1474,1252,-15%
31289090,366,356,-3%
31290150,2867,2530,-12%
31290160,1948,1703,-13%
31290170,1032,1102,7%
31290180,1961,1586,-19%
31292021,1098,1177,7%
31292040,1269,1164,-8%
31293150,2622,2404,-8%
31293200,1537,1241,-19%
31293210,1412,1397,-1%
31295031,1490,1240,-17%
31295070,921,879,-5%
31296020,3934,3722,-5%
31296030,3879,3531,-9%
31296040,346,389,12%
31296121,1420,1296,-9%
31296130,775,675,-13%
32222180,1862,1759,-6%
32285070,2691,1943,-28%
32286010,4018,3869,-4%
32287020,5631,4545,-19%
32287091,5199,5131,-1%
33082101,2829,2437,-14%
33085018,763,911,19%
33085020,1451,1202,-17%
33280001,6346,6691,5%
33280023,4797,4981,4%
33283062,2087,1852,-11%
33286032,3276,3265,0%
33286192,2012,2382,18%
33286241,326,307,-6%
33287040,2727,2555,-6%
33288045,1735,1989,15%
33291031,2251,1817,-19%
33292130,3268,2809,-14%
33295060,4293,3596,-16%
33295061,3883,3605,-7%
33295062,3947,3526,-11%
33296150,1617,1433,-11%
34022005,4103,3978,-3%
34022182,5824,5313,-9%
34022183,6050,5526,-9%
34022185,4103,4791,17%
34095004,2082,1901,-9%
34203359,13771,11765,-15%
34203361,15647,13742,-12%
34280021,8483,7704,-9%
34288031,9317,10112,9%
34288032,7791,7600,-2%
34295000,3435,3243,-6%
36096050,528,524,-1%
37082040,91,87,-4%
37082070,303,291,-4%
37082150,2222,2085,-6%
37083080,1389,1319,-5%
37093030,921,949,3%
37093093,1385,1358,-2%
37096151,1005,916,-9%
37096170,1953,2319,19%
37283000,1202,1001,-17%
37283060,311,344,11%
37286020,588,609,4%
37286031,1221,1126,-8%
37286110,2515,2581,3%
37286120,1613,1602,-1%
37286180,1913,1657,-13%
37286191,2383,1861,-22%
37293121,3593,3349,-7%
37294010,2749,1978,-28%
37294090,5145,4976,-3%
37296110,2663,2472,-7%
38022187,1817,1853,2%
38285060,1110,1155,4%
38287090,5243,5160,-2%
43003000,1345,1361,1%
43007000,1006,465,-54%
43021000,2845,1081,-62%
43026000,1522,592,-61%
43032000,647,360,-44%
43042000,960,619,-36%
43052000,972,423,-56%
43057000,975,439,-55%
43063000,614,375,-39%
43066000,1975,1435,-27%
43073000,4280,2816,-34%
43083000,5403,3753,-31%
43088000,6339,3968,-37%
43091000,5321,3584,-33%
43093000,5050,3447,-32%
43108000,4761,3326,-30%
43113000,3494,2584,-26%
43116000,1469,1351,-8%
43123000,848,940,11%
43125000,468,388,-17%
43127000,3141,1961,-38%
43130000,548,499,-9%
43131000,1761,1313,-25%
43136000,1395,1160,-17%
43143000,1766,1595,-10%
43155000,1283,914,-29%
43157000,1811,956,-47%
43162000,2828,899,-68%
43166000,1112,595,-46%
43173000,7181,5833,-19%
43237000,6502,3898,-40%
43240000,1932,1388,-28%
43242000,1726,1098,-36%
43252000,1363,1581,16%
43262000,2618,1499,-43%
43266000,2222,2018,-9%
43273000,4636,4325,-7%
43276000,6477,7010,8%
43295000,3656,3212,-12%
43297000,2557,2275,-11%
43302000,5835,5075,-13%
43306000,6778,5451,-20%
43312000,10323,8849,-14%
43317000,205,224,9%
43322000,2195,1790,-18%
43330500,1788,1615,-10%
43336000,8795,7536,-14%
43337000,8304,6316,-24%
43346000,9195,7617,-17%
43351000,10642,8512,-20%
43357000,9593,8131,-15%
43367000,7858,5251,-33%
43373000,5919,5037,-15%
43378000,3972,3307,-17%
43385000,4219,3714,-12%
43393000,5820,5864,1%
43397000,5797,5998,3%
43401500,2935,2707,-8%
43402000,462,566,23%
43416000,459,287,-37%
43420000,1680,1416,-16%
43422000,956,934,-2%
43437000,18304,15952,-13%
43442000,18396,15157,-18%
43447000,1267,1093,-14%
43452000,10973,10525,-4%
43457000,3135,1646,-47%
43467000,7764,5154,-34%
43469000,25610,20755,-19%
43482000,10942,8476,-23%
43487000,3359,2343,-30%
43497000,9716,8475,-13%
43505000,10532,8356,-21%
43508000,1394,1111,-20%
43518000,2034,1507,-26%
43526000,2425,1520,-37%
43535000,6358,4929,-22%
43536000,6618,5328,-19%
43538000,6556,6178,-6%
43542000,9694,6895,-29%
43543000,10771,6833,-37%
43547000,8277,5147,-38%
43552000,2442,1475,-40%
43554000,4247,3274,-23%
43556000,4320,2111,-51%
43558000,3130,2003,-36%
43571000,2475,1538,-38%
43576000,3373,1784,-47%
43578000,3257,1846,-43%
43584000,1438,678,-53%
43587000,550,565,3%
43594000,379,323,-15%
43602000,1627,1137,-30%
43606000,2952,1993,-32%
43607000,1133,771,-32%
43627000,1958,1613,-18%
43628000,2595,2107,-19%
43637000,4036,3831,-5%
43643000,1690,1465,-13%
43647000,1924,1761,-8%
43653000,4801,4638,-3%
43658000,6206,5796,-7%
43662000,4500,4201,-7%
43680000,1968,1650,-16%
43682000,3683,2993,-19%
43687000,6484,5256,-19%
43712000,1336,998,-25%
43714000,2443,1825,-25%
43716000,1455,1185,-19%
43721000,299,252,-16%
43733000,2438,2289,-6%
43735000,4551,3195,-30%
43743000,2147,1853,-14%
43746000,5058,5201,3%
43748000,11887,10521,-11%
43753000,11127,10274,-8%
43762000,8279,8236,-1%
43766000,11945,9498,-20%
43767000,6153,5510,-10%
43772000,1740,1309,-25%
43783000,1866,1348,-28%
43787000,1880,1600,-15%
43791000,3211,2876,-10%
43803000,4211,4568,8%
43807000,2056,2005,-2%
43810000,1683,1425,-15%
43813000,7484,7236,-3%
43815000,3479,3703,6%
43817000,4850,4728,-3%
43821000,3290,3161,-4%
43827000,1085,1077,-1%
43832000,2613,2937,12%
43837000,995,781,-22%
43842000,7544,6745,-11%
43843500,3378,2959,-12%
43847000,7530,6602,-12%
43861000,2201,1882,-14%
43863000,3598,3247,-10%
43867000,2893,2684,-7%
43872000,1011,784,-22%
43876000,122,88,-28%
43877000,1076,964,-10%
43878000,1659,1651,0%
43879000,1745,1272,-27%
43880000,925,827,-11%
43881000,7338,5458,-26%
43887000,7512,6045,-20%
43893000,9807,8098,-17%
43898000,7257,6647,-8%
43906000,3226,2293,-29%
43907000,2648,1758,-34%
43917000,2077,1883,-9%
43922000,6496,5896,-9%
43927000,775,615,-21%
43928000,2125,1218,-43%
43929000,568,473,-17%
43932000,4095,3133,-23%
43934000,4503,4117,-9%
43942000,1870,1512,-19%
43945000,1525,1549,2%
43949000,1656,1198,-28%
43950000,1163,1009,-13%
43958000,329,318,-3%
43960000,2484,1956,-21%
43963100,3147,3202,2%
43963200,7176,5097,-29%
43963300,2056,1675,-19%
43963400,6521,5661,-13%
43963500,949,1195,26%
44408000,1623,1211,-25%
44410500,1229,782,-36%
44416000,1171,897,-23%
44419000,1230,723,-41%
44439000,4727,3873,-18%
44439600,3428,3057,-11%
51134000,4666,3851,-17%
51151000,14690,15114,3%
51154000,20036,14641,-27%
51555100,4782,5359,12%
51564000,12303,10752,-13%
51572000,14687,11142,-24%
51578000,14365,12036,-16%
51582000,14474,12703,-12%
51593000,4599,3353,-27%
51594000,521,589,13%
51609000,645,720,12%
51614000,2018,1530,-24%
51618200,1676,1121,-33%
51618500,1128,1015,-10%
51631000,3198,2960,-7%
51636000,734,963,31%
51639000,945,757,-20%
51644000,275,138,-50%
51648000,1606,1922,20%
51654000,664,642,-3%
51675000,237,203,-14%
51680000,2938,3271,11%
51684000,1615,2052,27%
51686000,1673,1829,9%
51701000,208,300,44%
51709000,130,107,-18%
51733500,10895,9943,-9%
51735000,15243,9345,-39%
51738000,11690,9335,-20%
51741000,10007,8171,-18%
51750000,10094,6633,-34%
51756500,9199,7567,-18%
51760000,11833,8612,-27%
51762000,15450,11570,-25%
51766000,13284,11555,-13%
51773000,11550,10611,-8%
51777500,7123,6374,-11%
51783000,6192,5489,-11%
51787000,4219,3578,-15%
51794000,3663,2449,-33%
51799500,3108,2169,-30%
51836000,1745,1193,-32%
51839000,1059,709,-33%
51844000,797,801,1%
51850000,313,506,62%
51854000,1364,1088,-20%
51859000,11947,10118,-15%
51866000,2481,1875,-24%
51867000,1107,639,-42%
51869000,1113,683,-39%
51870000,2258,2258,0%
51872000,1895,1686,-11%
51873000,847,1008,19%
51878500,1876,1499,-20%
51879000,1424,1459,2%
51883000,768,773,1%
51888000,1124,1028,-9%
51891000,771,854,11%
51897000,266,161,-39%
51903000,110,115,5%
51910000,1306,1199,-8%
51911000,1107,893,-19%
51919000,173,290,68%
51920000,55,85,55%
51939000,446,402,-10%
51950000,2675,1208,-55%
51955000,2939,1976,-33%
51956000,1882,1379,-27%
51957000,2512,1941,-23%
51957500,1891,1085,-43%
51958000,1106,783,-29%
51958500,2167,1203,-44%
51959000,5786,4363,-25%
51959200,2011,3860,92%
51960000,3013,2448,-19%
51961000,3215,3173,-1%
51962000,1979,1821,-8%
51963000,616,802,30%
51970000,1657,1578,-5%
51976000,5057,2896,-43%
51976500,1156,952,-18%
52016000,591,368,-38%
52351000,55818,40537,-27%
52356000,47738,36852,-23%
52367000,21306,14098,-34%
52372000,19106,15964,-16%
52387000,45512,41600,-9%
52850000,694,473,-32%
52855000,1684,1593,-5%
52905000,1156,1103,-5%
52910000,3476,2963,-15%
52918500,4784,5131,7%
52922000,4191,3743,-11%
52923000,2383,2089,-12%
52928000,1459,1626,11%
52931200,1637,1229,-25%
52931400,266,280,5%
52953000,25143,21813,-13%
52956000,17316,14963,-14%
52963000,20267,16040,-21%
52967000,16903,14351,-15%
52968000,10240,7968,-22%
52969000,6799,5086,-25%
52973000,6775,6394,-6%
52976500,7764,6958,-10%
52977500,8363,7359,-12%
52978000,1819,1532,-16%
52979000,231,458,98%
52981000,5534,5103,-8%
52982200,1727,1571,-9%
52983000,1077,979,-9%
52985000,3283,3214,-2%
52987000,493,354,-28%
52989000,3041,2526,-17%
52994000,29269,24642,-16%
52999000,23161,17601,-24%
53002000,18963,15804,-17%
53002500,17753,13953,-21%
53003000,2353,2357,0%
53006000,1649,1126,-32%
53011500,11786,11332,-4%
53018000,13788,10193,-26%
53018300,6720,5446,-19%
53021000,2277,1882,-17%
53023000,2468,2129,-14%
53026000,3200,2481,-22%
53040000,805,494,-39%
53044000,2035,1797,-12%
53050000,2929,2814,-4%
53055500,1392,1167,-16%
53059000,1487,1192,-20%
53064000,2668,2430,-9%
53066000,6627,6033,-9%
53067000,5526,4819,-13%
53080000,4690,3747,-20%
53085000,7075,6121,-13%
53094900,5731,5226,-9%
53095000,4518,4147,-8%
53100000,8943,7787,-13%
53103000,10598,8684,-18%
53110000,3833,3422,-11%
53120000,4549,4131,-9%
53142000,11875,10717,-10%
53147500,7620,7269,-5%
53153000,5856,6153,5%
53159500,1312,806,-39%
53167000,989,724,-27%
53191100,427,266,-38%
53205000,6555,2084,-68%
53207000,2966,1874,-37%
53212000,7928,684,-91%
53214000,2233,2432,9%
53216000,4557,4334,-5%
53217000,6188,4978,-20%
53219000,8645,7612,-12%
53220000,6228,5555,-11%
53223000,3085,2808,-9%
53224000,6217,5748,-8%
53224500,6361,5738,-10%
53230000,4905,4398,-10%
53235000,7633,6664,-13%
53240000,6453,5527,-14%
53245000,4966,3666,-26%
53255000,7162,6481,-10%
53260000,4164,3645,-12%
53264000,1143,1396,22%
53280000,10879,10202,-6%
53287000,7212,8275,15%
53291000,7558,7312,-3%
53296000,2557,2490,-3%
53303000,1510,1633,8%
53304000,1550,1502,-3%
53315000,2533,2587,2%
53323000,4753,4722,-1%
53328000,3429,3529,3%
53330000,8843,7894,-11%
53335000,3744,4251,14%
53337000,12035,8518,-29%
53343000,13117,10099,-23%
53346000,16742,15354,-8%
53353000,9678,6096,-37%
53355000,17678,18148,3%
53367000,37665,33155,-12%
53371000,34877,29653,-15%
53396000,27531,22052,-20%
53405000,18817,16822,-11%
53414000,8839,7452,-16%
53417000,6309,5300,-16%
53440000,5686,4951,-13%
53450000,11840,10338,-13%
53452000,9968,8895,-11%
53465000,11215,9652,-14%
53483000,85,96,13%
53495000,2365,2231,-6%
53496000,1315,893,-32%
53501000,12809,9887,-23%
53505000,13925,11204,-20%
53507000,4225,3357,-21%
53511000,17805,17090,-4%
53514000,711,580,-18%
53516000,1335,902,-32%
53517000,2676,1764,-34%
53518000,1869,1566,-16%
53518500,2516,2099,-17%
53527000,7761,7435,-4%
53528000,5507,4824,-12%
53535000,1303,1190,-9%
53544000,12222,10365,-15%
53548000,13293,10142,-24%
53556000,1197,1334,11%
53558500,1172,2976,154%
53562000,705,742,5%
53573000,14115,12368,-12%
53645000,2259,1762,-22%
53658000,17077,12746,-25%
53662000,18805,12818,-32%
53696000,36631,29399,-20%
53734000,21687,18907,-13%
53740000,8487,3548,-58%
53741000,4914,3614,-26%
53742000,9220,7528,-18%
53743000,8208,2600,-68%
53744000,5255,4398,-16%
53745000,7799,6279,-19%
53755000,7306,5060,-31%
53811000,11668,9977,-14%
53814000,19165,16408,-14%
53817000,18782,15660,-17%
53822500,21970,17375,-21%
53823000,19204,15604,-19%
53841000,1839,1523,-17%
53845000,1813,1448,-20%
53856000,19627,16343,-17%
53857000,20898,16721,-20%
53862000,17684,16072,-9%
53867000,12755,10753,-16%
53868000,5549,4520,-19%
53874000,4691,4584,-2%
53878000,3406,1791,-47%
53883000,5811,2748,-53%
53893000,16731,13224,-21%
53897000,19187,14787,-23%
53980000,1676,1239,-26%
54001000,2008,1315,-35%
54007000,12164,6153,-49%
54010000,10488,9457,-10%
54011000,3777,1510,-60%
54026000,30216,19978,-34%
54035000,32434,21511,-34%
54047000,35730,30315,-15%
54060000,38398,28345,-26%
54063000,38000,26528,-30%
54087000,12635,8112,-36%
54097000,14278,10078,-29%
54105000,16517,13705,-17%
54110000,17050,13554,-21%
54111000,15333,12339,-20%
54118000,10008,7473,-25%
54123000,5734,4599,-20%
54127000,2307,1500,-35%
54161000,8792,6761,-23%
54180000,4036,2018,-50%
54190000,2895,1277,-56%
54218000,17864,13573,-24%
54224000,12833,9369,-27%
54227000,14297,10996,-23%
54233000,16872,12998,-23%
54237000,10730,9373,-13%
54243000,7924,6820,-14%
54247000,9697,6612,-32%
54259000,4199,3561,-15%
54260000,2350,2222,-5%
54272000,18350,12267,-33%
54280000,1103,679,-38%
54290000,1965,1572,-20%
54435000,17587,12910,-27%
54445000,27203,22164,-19%
54471000,17983,18640,4%
54504000,8592,7031,-18%
54504600,7545,5627,-25%
54510000,9475,8582,-9%
54512000,8472,7601,-10%
54520000,7590,6050,-20%
54525000,7151,5828,-19%
54525300,4850,4184,-14%
54563000,1752,582,-67%
54591000,15936,11818,-26%
54597000,17486,13262,-24%
54599000,17053,10983,-36%
54720000,5862,4641,-21%
54722000,1020,885,-13%
54723000,4875,3984,-18%
54724000,1441,767,-47%
54725000,3650,2711,-26%
54726000,2902,2404,-17%
54727000,1825,1337,-27%
54730000,7795,5656,-27%
54731500,3528,2938,-17%
54733000,2495,2233,-11%
54734000,2967,2286,-23%
54736000,6870,4685,-32%
54738000,6901,4718,-32%
54739000,3428,1529,-55%
54740000,1068,755,-29%
54741000,4995,3492,-30%
54743000,1401,1027,-27%
54744000,1045,709,-32%
54745000,2576,2115,-18%
54745500,4152,2940,-29%
54746000,1405,1309,-7%
54750000,3368,2774,-18%
54763000,29985,25011,-17%
54779000,18095,14995,-17%
54797000,13910,10038,-28%
54807000,11915,8728,-27%
54815000,9456,7405,-22%
54825000,16814,10632,-37%
54903000,10095,8739,-13%
54905000,10274,8148,-21%
54913000,6213,5695,-8%
54945000,5729,3886,-32%
54952000,6992,4015,-43%
54965000,5663,3099,-45%
54971000,4515,5282,17%
54985000,5311,3764,-29%
54995000,1949,1035,-47%
55023000,3106,1588,-49%
55028000,4998,2896,-42%
55032000,5435,3319,-39%
55037000,4439,3041,-31%
55045000,4952,3931,-21%
55053000,7490,5489,-27%
55057000,2842,3165,11%
55063000,2563,2752,7%
55068000,2450,2106,-14%
55071000,1697,1989,17%
55080000,1568,907,-42%
55088000,4397,3521,-20%
55095000,8289,6364,-23%
55105000,9575,7121,-26%
55135000,13006,10550,-19%
55145000,16144,13964,-14%
55158000,18905,18258,-3%
55164000,20519,19507,-5%
55175000,27621,29615,7%
55225000,13771,10144,-26%
55231000,10545,9251,-12%
55252000,23689,22621,-5%
