Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/1/2019 0:00,000052525000,2,60,1,Northbound Lane 1,1,North,149,8192,Checked,32738,16,0,0,0,0,0,2,2,10,34,68,24,7,1,0,1,0,
3/1/2019 0:00,000052525000,2,60,2,Northbound Lane 2,1,North,74,8192,Checked,32738,16,0,0,0,0,0,0,0,0,5,28,34,7,0,0,0,0,
3/1/2019 0:00,000052525000,2,60,3,Southbound Lane 1,2,South,67,8192,Checked,32738,16,0,0,0,0,0,2,1,10,16,27,8,2,1,0,0,0,
3/1/2019 0:00,000052525000,2,60,4,Southbound Lane 2,2,South,12,8192,Checked,32738,16,0,0,0,0,0,0,0,1,1,3,6,0,1,0,0,0,
3/1/2019 1:00,000052525000,2,60,1,Northbound Lane 1,1,North,115,8192,Checked,32738,16,0,0,0,0,0,0,0,6,31,60,13,3,2,0,0,0,
3/1/2019 1:00,000052525000,2,60,2,Northbound Lane 2,1,North,34,8192,Checked,32738,16,0,0,0,0,0,0,0,0,0,13,16,4,1,0,0,0,
3/1/2019 1:00,000052525000,2,60,3,Southbound Lane 1,2,South,54,8192,Checked,32738,16,0,0,0,0,0,2,7,9,14,17,3,1,0,1,0,0,
3/1/2019 1:00,000052525000,2,60,4,Southbound Lane 2,2,South,6,8192,Checked,32738,16,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,
3/1/2019 2:00,000052525000,2,60,1,Northbound Lane 1,1,North,55,8192,Checked,32738,16,0,0,0,0,1,0,0,4,20,21,6,3,0,0,0,0,
3/1/2019 2:00,000052525000,2,60,2,Northbound Lane 2,1,North,21,8192,Checked,32738,16,0,0,0,0,0,0,0,1,0,12,6,2,0,0,0,0,
3/1/2019 2:00,000052525000,2,60,3,Southbound Lane 1,2,South,59,8192,Checked,32738,16,0,0,0,0,0,0,4,12,17,23,3,0,0,0,0,0,
3/1/2019 2:00,000052525000,2,60,4,Southbound Lane 2,2,South,11,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,4,3,1,0,0,0,0,
3/1/2019 3:00,000052525000,2,60,1,Northbound Lane 1,1,North,44,8192,Checked,32738,16,0,0,0,0,0,0,1,8,13,16,6,0,0,0,0,0,
3/1/2019 3:00,000052525000,2,60,2,Northbound Lane 2,1,North,17,8192,Checked,32738,16,0,0,0,0,0,1,0,0,4,5,6,1,0,0,0,0,
3/1/2019 3:00,000052525000,2,60,3,Southbound Lane 1,2,South,91,8192,Checked,32738,16,0,0,0,0,0,0,1,7,25,46,11,1,0,0,0,0,
3/1/2019 3:00,000052525000,2,60,4,Southbound Lane 2,2,South,24,8192,Checked,32738,16,0,0,0,0,0,0,0,1,5,12,6,0,0,0,0,0,
3/1/2019 4:00,000052525000,2,60,1,Northbound Lane 1,1,North,28,8192,Checked,32738,16,0,0,0,0,0,0,0,0,7,13,8,0,0,0,0,0,
3/1/2019 4:00,000052525000,2,60,2,Northbound Lane 2,1,North,10,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,
3/1/2019 4:00,000052525000,2,60,3,Southbound Lane 1,2,South,216,8192,Checked,32738,16,0,0,0,0,0,3,8,17,56,93,33,6,0,0,0,0,
3/1/2019 4:00,000052525000,2,60,4,Southbound Lane 2,2,South,79,8192,Checked,32738,16,0,0,0,0,0,0,1,3,9,24,34,8,0,0,0,0,
3/1/2019 5:00,000052525000,2,60,1,Northbound Lane 1,1,North,71,8192,Checked,32738,16,0,0,0,0,0,0,1,8,14,31,14,2,0,1,0,0,
3/1/2019 5:00,000052525000,2,60,2,Northbound Lane 2,1,North,19,8192,Checked,32738,16,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,
3/1/2019 5:00,000052525000,2,60,3,Southbound Lane 1,2,South,554,8192,Checked,32738,16,0,0,0,0,0,0,0,14,112,247,153,20,4,3,1,0,
3/1/2019 5:00,000052525000,2,60,4,Southbound Lane 2,2,South,578,8192,Checked,32738,16,0,0,0,0,0,0,0,0,12,92,298,156,17,3,0,0,
3/1/2019 6:00,000052525000,2,60,1,Northbound Lane 1,1,North,175,8192,Checked,32738,16,1,0,0,0,0,0,3,5,37,79,43,4,3,0,0,0,
3/1/2019 6:00,000052525000,2,60,2,Northbound Lane 2,1,North,68,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,16,31,15,4,0,0,0,
3/1/2019 6:00,000052525000,2,60,3,Southbound Lane 1,2,South,780,8192,Checked,32738,16,1,0,0,0,1,8,50,106,245,262,88,14,4,1,0,0,
3/1/2019 6:00,000052525000,2,60,4,Southbound Lane 2,2,South,1271,8192,Checked,32738,16,0,0,0,0,0,1,10,130,189,355,501,80,5,0,0,0,
3/1/2019 7:00,000052525000,2,60,1,Northbound Lane 1,1,North,296,8192,Checked,32738,16,0,0,0,0,0,0,1,8,66,140,63,15,1,1,1,0,
3/1/2019 7:00,000052525000,2,60,2,Northbound Lane 2,1,North,160,8192,Checked,32738,16,0,0,0,0,0,0,0,2,3,27,84,38,4,2,0,0,
3/1/2019 7:00,000052525000,2,60,3,Southbound Lane 1,2,South,808,8192,Checked,32738,16,0,0,0,0,0,7,46,78,135,368,140,26,5,2,1,0,
3/1/2019 7:00,000052525000,2,60,4,Southbound Lane 2,2,South,999,8192,Checked,32738,16,1,0,0,0,0,0,24,62,70,194,418,202,27,0,1,0,
3/1/2019 8:00,000052525000,2,60,1,Northbound Lane 1,1,North,395,8192,Checked,32738,16,0,0,0,0,0,0,2,19,88,186,75,22,3,0,0,0,
3/1/2019 8:00,000052525000,2,60,2,Northbound Lane 2,1,North,223,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,57,97,51,11,2,2,0,
3/1/2019 8:00,000052525000,2,60,3,Southbound Lane 1,2,South,620,8192,Checked,32738,16,0,0,0,0,0,0,5,20,133,299,126,30,7,0,0,0,
3/1/2019 8:00,000052525000,2,60,4,Southbound Lane 2,2,South,601,8192,Checked,32738,16,2,0,0,0,0,0,0,0,2,99,291,172,29,5,1,0,
3/1/2019 9:00,000052525000,2,60,1,Northbound Lane 1,1,North,393,8192,Checked,32738,16,0,0,0,0,0,0,1,14,100,179,80,19,0,0,0,0,
3/1/2019 9:00,000052525000,2,60,2,Northbound Lane 2,1,North,224,8192,Checked,32738,16,1,0,0,0,0,0,0,1,7,49,93,48,18,5,2,0,
3/1/2019 9:00,000052525000,2,60,3,Southbound Lane 1,2,South,571,8192,Checked,32738,16,1,0,0,0,0,0,3,21,117,272,133,15,6,3,0,0,
3/1/2019 9:00,000052525000,2,60,4,Southbound Lane 2,2,South,475,8192,Checked,32738,16,0,0,0,0,0,0,0,0,4,73,228,133,33,3,1,0,
3/1/2019 10:00,000052525000,2,60,1,Northbound Lane 1,1,North,350,8192,Checked,32738,16,0,0,0,0,0,1,5,31,96,146,57,14,0,0,0,0,
3/1/2019 10:00,000052525000,2,60,2,Northbound Lane 2,1,North,253,8192,Checked,32738,16,0,0,0,0,0,0,3,10,44,73,94,22,6,1,0,0,
3/1/2019 10:00,000052525000,2,60,3,Southbound Lane 1,2,South,522,8192,Checked,32738,16,1,0,0,0,0,1,4,43,147,226,84,13,3,0,0,0,
3/1/2019 10:00,000052525000,2,60,4,Southbound Lane 2,2,South,436,8192,Checked,32738,16,1,0,0,0,0,0,1,2,26,100,213,81,9,3,0,0,
3/1/2019 11:00,000052525000,2,60,1,Northbound Lane 1,1,North,433,8192,Checked,32738,16,0,0,0,0,0,0,3,16,125,211,68,8,2,0,0,0,
3/1/2019 11:00,000052525000,2,60,2,Northbound Lane 2,1,North,261,8192,Checked,32738,16,0,0,0,1,0,1,0,4,16,81,108,40,9,1,0,0,
3/1/2019 11:00,000052525000,2,60,3,Southbound Lane 1,2,South,532,8192,Checked,32738,16,0,0,0,0,1,1,6,32,163,246,65,14,3,1,0,0,
3/1/2019 11:00,000052525000,2,60,4,Southbound Lane 2,2,South,346,8192,Checked,32738,16,0,0,0,0,0,0,0,3,15,110,144,63,10,1,0,0,
3/1/2019 12:00,000052525000,2,60,1,Northbound Lane 1,1,North,471,8192,Checked,32738,16,0,0,0,0,0,1,5,13,110,216,102,21,3,0,0,0,
3/1/2019 12:00,000052525000,2,60,2,Northbound Lane 2,1,North,299,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,78,154,55,8,0,1,0,
