This report is based on the following selections
Site: Seward Highway @ Moose Pass MP 32
CDS Route Number: 1020000X000
Milepoint: 31.7
Period: Daily Averages for 31 Days Beginning 03/01/2019
Units: Degrees Fahrenheit

;"03/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"01";"02";"03";"04";"05";"06";"07";"08";"09";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31"
Air;9.4;27.1;23.7;16.8;31.2 (observation count 23);26.5;34.9;35.8;34.4;34.8 (observation count 23);31.9;32.6;32.5 (observation count 18);33.7 (observation count 13);36.5;38.7;39.1;38.8;38.8;44.0;42.1;38.3;38.8;37.2;33.7;34.5;36.7;37.0;34.2;34.4;33.7
Sfc;5.4;19.6;21.3;15.8;26.4 (observation count 23);24.6;29.7;33.4;31.9;33.6 (observation count 23);32.0;31.3;31.1 (observation count 18);32.2 (observation count 13);34.4;36.1;37.0;37.0;36.5;38.6;40.7;37.5;39.7;37.8;36.6;37.7;39.4;41.4;39.9;40.3;41.4
Btm;9.6;12.5;17.4;17.8;19.4 (observation count 23);22.6;23.6;26.3;28.0;28.7 (observation count 23);29.4;29.7;29.9 (observation count 18);30.0 (observation count 13);30.1;30.2;30.4;30.6;30.9;31.2;31.8;32.2;32.4;32.5;32.3;32.5;32.9;33.5;34.2;34.4;35.2
3";10.5;12.4;16.9;18.0;19.1 (observation count 23);22.1;23.3;25.7;27.4;28.3 (observation count 23);29.0;29.4;29.6 (observation count 18);29.8 (observation count 13);29.9;30.0;30.2;30.3;30.7;31.1;31.8;31.8;31.8;31.8;31.7;31.7;32.0;32.4;33.1;33.4;34.0
6";11.6;12.8;16.8;18.4;19.2 (observation count 23);22.0;23.2;25.4;27.2;28.1 (observation count 23);28.8;29.3;29.6 (observation count 18);29.8 (observation count 13);29.9;30.0;30.2;30.4;30.7;31.2;31.7;31.7;31.6;31.5;31.4;31.4;31.6;31.8;32.3;32.6;33.2
9";12.3;13.2;16.7;18.6;19.2 (observation count 23);21.8;23.1;25.0;26.9;27.8 (observation count 23);28.6;29.1;29.4 (observation count 18);29.7 (observation count 13);29.8;29.9;30.1;30.2;30.4;31.1;31.5;31.5;31.3;31.3;31.2;31.2;31.2;31.3;31.5;31.7;32.3
12";13.7;14.1;16.9;19.0;19.6 (observation count 23);21.8;23.2;24.8;26.6;27.6 (observation count 23);28.4;29.0;29.3 (observation count 18);29.6 (observation count 13);29.7;29.9;30.0;30.2;30.4;31.0;31.3;31.3;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.5
18";16.8;16.7;18.4;20.3;20.9 (observation count 23);22.4;23.7;25.0;26.5;27.5 (observation count 23);28.3;28.9;29.3 (observation count 18);29.6 (observation count 13);29.7;29.9;30.0;30.2;30.3;31.1;31.2;31.3;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.2
24";20.2;19.9;20.6;21.9;22.6 (observation count 23);23.5;24.6;25.5;26.6;27.5 (observation count 23);28.2;28.8;29.2 (observation count 18);29.5 (observation count 13);29.7;29.8;29.9;30.0;30.1;30.8;31.0;31.1;31.0;31.0;31.0;31.0;31.0;31.0;31.1;31.1;31.1
30";23.5;23.1;23.3;24.2;24.7 (observation count 23);25.3;26.0;26.7;27.5;28.2 (observation count 23);28.8;29.2;29.6 (observation count 18);29.9 (observation count 13);30.0;30.1;30.2;30.3;30.4;31.1;31.2;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3
36";26.6;26.2;26.2;26.6;26.9 (observation count 23);27.2;27.6;28.0;28.5;28.9 (observation count 23);29.3;29.6;29.8 (observation count 18);30.1 (observation count 13);30.1;30.2;30.3;30.4;30.5;31.0;31.1;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.2;31.2
42";29.1;28.8;28.7;28.8;28.9 (observation count 23);29.0;29.1;29.3;29.5;29.7 (observation count 23);30.0;30.1;30.3 (observation count 18);30.4 (observation count 13);30.5;30.5;30.6;30.6;30.7;31.1;31.2;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3
48";30.4;30.2;30.1;30.0;29.9 (observation count 23);29.9;29.9;29.9;30.0;30.1 (observation count 23);30.2;30.3;30.4 (observation count 18);30.5 (observation count 13);30.5;30.5;30.5;30.6;30.6;30.8;31.0;31.0;31.0;31.0;31.0;31.0;30.9;30.9;30.9;30.9;30.9
54";31.4;31.2;31.2;31.1;30.9 (observation count 23);30.9;30.8;30.8;30.8;30.8 (observation count 23);30.8;30.9;30.9 (observation count 18);30.9 (observation count 13);30.9;30.9;30.9;31.0;31.0;31.1;31.1;31.2;31.2;31.1;31.1;31.1;31.1;31.1;31.1;31.1;31.1
60";31.8;31.7;31.7;31.6;31.5 (observation count 23);31.5;31.4;31.3;31.3;31.3 (observation count 23);31.3;31.3;31.3 (observation count 18);31.3 (observation count 13);31.3;31.3;31.3;31.3;31.3;31.1;31.1;31.2;31.2;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.4
66";32.5;32.4;32.3;32.3;32.2 (observation count 23);32.2;32.1;32.0;32.0;32.0 (observation count 23);32.0;31.9;31.9 (observation count 18);31.9 (observation count 13);31.9;31.9;31.9;31.9;31.9;31.7;31.6;31.7;31.8;31.8;31.8;31.8;31.8;31.8;31.8;31.8;31.8
72";33.1;32.9;32.9;32.9;32.8 (observation count 23);32.7;32.6;32.6;32.6;32.5 (observation count 23);32.5;32.5;32.5 (observation count 18);32.5 (observation count 13);32.4;32.4;32.4;32.4;32.4;32.2;32.1;32.2;32.2;32.3;32.3;32.2;32.2;32.2;32.2;32.2;32.2
