This report is based on the following selections
Site: Seward Highway @ Moose Pass MP 32
CDS Route Number: 1020000X000
Milepoint: 31.7
Period: Daily Averages for 31 Days Beginning 04/01/2019
Units: Degrees Fahrenheit

;"04/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"05/";
;"01";"02";"03";"04";"05";"06";"07";"08";"09";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"01"
Air;34.4;37.6;37.1;35.9;39.0 (observation count 19);;;38.4 (observation count 15);34.5;40.1;37.8;36.2;35.5;34.8;36.7;40.9;36.5;34.3;33.2;36.3;34.3;31.3;32.2;34.4;34.5;36.4;37.8;42.4;38.7;44.9;47.2
Sfc;42.7;43.8;45.0;43.2;47.6 (observation count 19);;;45.2 (observation count 15);42.4;43.4;39.8;42.7;46.5;49.0;48.4;50.2;43.3;43.2;38.0;44.4;39.0;40.5;45.9;44.0;45.9;52.6;54.8;52.6;43.0;60.2;62.1
Btm;36.2;37.3;38.5;39.2;39.3 (observation count 19);;;41.7 (observation count 15);41.2;40.1;39.8;39.3;40.4;41.9;42.8;43.7;43.2;42.4;40.1;39.6;40.0;39.1;40.0;41.0;41.0;43.1;45.5;46.5;45.5;46.2;50.3
3";35.1;36.3;37.4;38.3;38.5 (observation count 19);;;40.7 (observation count 15);40.5;39.7;39.4;38.8;39.5;40.8;41.9;42.6;42.7;41.8;40.2;39.3;39.7;38.8;39.4;40.3;40.5;42.0;44.2;45.5;45.1;45.0;48.6
6";34.3;35.5;36.7;37.6;37.9 (observation count 19);;;40.0 (observation count 15);40.0;39.4;39.2;38.5;39.0;40.1;41.2;41.9;42.2;41.5;40.2;39.1;39.5;38.8;39.0;39.9;40.2;41.3;43.3;44.7;44.8;44.3;47.3
9";33.3;34.6;35.8;36.8;37.2 (observation count 19);;;39.2 (observation count 15);39.4;39.0;38.7;38.2;38.4;39.3;40.3;41.0;41.6;41.0;40.1;38.9;39.1;38.5;38.6;39.4;39.7;40.6;42.3;43.9;44.2;43.7;46.1
12";32.3;33.7;35.0;36.0;36.5 (observation count 19);;;38.4 (observation count 15);38.7;38.4;38.2;37.7;37.8;38.6;39.5;40.2;40.8;40.4;39.8;38.6;38.7;38.3;38.3;39.0;39.3;39.9;41.5;43.0;43.6;43.1;45.0
18";31.2;31.7;33.2;34.3;34.9 (observation count 19);;;36.8 (observation count 15);37.2;37.2;37.1;36.8;36.7;37.2;37.9;38.5;39.2;39.1;38.8;38.0;37.8;37.7;37.6;38.1;38.5;38.9;40.0;41.3;42.2;42.1;43.1
24";31.0;31.0;31.2;32.0;32.9 (observation count 19);;;35.0 (observation count 15);35.3;35.5;35.5;35.4;35.3;35.5;36.0;36.6;37.1;37.4;37.3;36.9;36.7;36.8;36.8;37.0;37.4;37.8;38.5;39.6;40.5;40.7;41.3
30";31.3;31.3;31.3;31.3;31.3 (observation count 19);;;33.6 (observation count 15);33.9;34.1;34.2;34.3;34.2;34.4;34.7;35.1;35.6;35.9;36.1;35.9;35.9;36.2;36.3;36.5;36.9;37.2;37.7;38.5;39.4;39.8;40.2
36";31.2;31.2;31.2;31.2;31.2 (observation count 19);;;31.7 (observation count 15);31.9;32.2;32.4;32.5;32.6;32.7;33.0;33.2;33.5;33.9;34.1;34.2;34.5;35.2;35.5;35.7;36.0;36.3;36.7;37.3;38.0;38.5;38.9
42";31.3;31.3;31.3;31.3;31.2 (observation count 19);;;31.3 (observation count 15);31.3;31.3;31.3;31.3;31.3;31.3;31.4;31.5;31.7;32.0;32.2;32.6;33.4;34.5;34.8;35.1;35.4;35.7;36.0;36.5;37.0;37.5;37.9
48";30.9;31.0;31.0;31.0;31.0 (observation count 19);;;31.0 (observation count 15);31.0;31.0;31.0;31.0;31.0;31.0;31.0;31.0;31.1;31.1;31.1;31.0;31.8;33.6;34.0;34.4;34.6;34.9;35.2;35.6;36.0;36.4;36.8
54";31.2;31.2;31.2;31.2;31.2 (observation count 19);;;31.3 (observation count 15);31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.3;31.4;31.5;31.6;32.4;33.5;33.8;34.2;34.5;34.8;35.0;35.3;35.7;36.1;36.4
60";31.4;31.3;31.4;31.4;31.3 (observation count 19);;;31.4 (observation count 15);31.4;31.4;31.4;31.4;31.4;31.4;31.5;31.5;31.4;31.5;31.6;31.7;32.3;33.1;33.5;33.8;34.1;34.4;34.7;34.9;35.2;35.5;35.9
66";31.8;31.8;31.8;31.8;31.8 (observation count 19);;;31.8 (observation count 15);31.9;31.9;31.9;31.8;31.8;31.9;31.9;31.9;31.8;31.9;32.0;32.1;32.4;33.0;33.4;33.8;34.0;34.3;34.6;34.8;35.1;35.3;35.6
72";32.2;32.2;32.2;32.2;32.2 (observation count 19);;;32.2 (observation count 15);32.2;32.2;32.2;32.2;32.2;32.2;32.2;32.2;32.2;32.2;32.3;32.3;32.6;33.0;33.4;33.7;33.9;34.2;34.4;34.6;34.9;35.1;35.3
