,#,Name,Type 1,Type 2,total,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
0,1,Bulbasaur,Grass,Poison,591,318,45,49,49,65,65,45,1
1,2,Ivysaur,Grass,Poison,750,405,60,62,63,80,80,60,1
2,3,Venusaur,Grass,Poison,970,525,80,82,83,100,100,80,1
3,3,VenusaurMega Venusaur,Grass,Poison,1170,625,80,100,123,122,120,80,1
4,4,Charmander,Fire,,553,309,39,52,43,60,50,65,1
5,5,Charmeleon,Fire,,730,405,58,64,58,80,65,80,1
6,6,Charizard,Fire,Flying,968,534,78,84,78,109,85,100,1
7,6,CharizardMega Charizard X,Fire,Dragon,1168,634,78,130,111,130,85,100,1
8,6,CharizardMega Charizard Y,Fire,Flying,1168,634,78,104,78,159,115,100,1
9,7,Squirtle,Water,,585,314,44,48,65,50,64,43,1
10,8,Wartortle,Water,,752,405,59,63,80,65,80,58,1
11,9,Blastoise,Water,,982,530,79,83,100,85,105,78,1
12,9,BlastoiseMega Blastoise,Water,,1182,630,79,103,120,135,115,78,1
13,10,Caterpie,Bug,,345,195,45,30,35,20,20,45,1
14,11,Metapod,Bug,,380,205,50,20,55,25,25,30,1
15,12,Butterfree,Bug,Flying,720,395,60,45,50,90,80,70,1
16,13,Weedle,Bug,Poison,340,195,40,35,30,20,20,50,1
17,14,Kakuna,Bug,Poison,375,205,45,25,50,25,25,35,1
18,15,Beedrill,Bug,Poison,715,395,65,90,40,45,80,75,1
19,15,BeedrillMega Beedrill,Bug,Poison,845,495,65,150,40,15,80,145,1
20,16,Pidgey,Normal,Flying,446,251,40,45,40,35,35,56,1
21,17,Pidgeotto,Normal,Flying,627,349,63,60,55,50,50,71,1
22,18,Pidgeot,Normal,Flying,857,479,83,80,75,70,70,101,1
23,18,PidgeotMega Pidgeot,Normal,Flying,1037,579,83,80,80,135,80,121,1
24,19,Rattata,Normal,,434,253,30,56,35,25,35,72,1
25,20,Raticate,Normal,,729,413,55,81,60,50,70,97,1
26,21,Spearow,Normal,Flying,454,262,40,60,30,31,31,70,1
27,22,Fearow,Normal,Flying,784,442,65,90,65,61,61,100,1
28,23,Ekans,Poison,,521,288,35,60,44,40,54,55,1
29,24,Arbok,Poison,,796,438,60,85,69,65,79,80,1
30,25,Pikachu,Electric,,550,320,35,55,40,50,50,90,1
31,26,Raichu,Electric,,860,485,60,90,55,90,80,110,1
